FullName,Winery,WineName,Year,Region,RegionalVariety,WineRating,WineRatingCount,WinePrice,WineRatingPriceRatio
Domaine Coche-Dury Meursault Les Rougeots 2001,Domaine Coche-Dury,Meursault Les Rougeots,2001,Burgundy,Côte de Beaune White,4.7,755,806.58,0.005827072
Joseph Drouhin Montrachet Grand Cru Marquis de Laguiche 2015,Joseph Drouhin,Montrachet Grand Cru Marquis de Laguiche,2015,Burgundy,Côte de Beaune White,4.6,1191,680,0.006764706
Marcassin Marcassin Vineyard Chardonnay 2013,Marcassin,Marcassin Vineyard Chardonnay,2013,Californian,Chardonnay,4.6,884,448,0.010267857
M. Chapoutier Ermitage Le Méal Blanc 2006,M. Chapoutier,Ermitage Le Méal Blanc,2006,Northern Rhône,White,4.5,414,164.675,0.027326552
Domaine Coche-Dury Corton-Charlemagne Grand Cru 2007,Domaine Coche-Dury,Corton-Charlemagne Grand Cru,2007,Burgundy,Côte de Beaune White,4.7,454,3478.36,0.001351211
Domaine Coche-Dury Corton-Charlemagne Grand Cru 2009,Domaine Coche-Dury,Corton-Charlemagne Grand Cru,2009,Burgundy,Côte de Beaune White,4.7,454,4022.8,0.00116834
Keller G-Max Riesling 2009,Keller,G-Max Riesling,2009,German,Riesling,4.7,209,2420,0.001942149
Château Haut-Brion Pessac-Léognan Blanc (Grand Cru Classé de Graves) 2005,Château Haut-Brion,Pessac-Léognan Blanc (Grand Cru Classé de Graves),2005,Bordeaux,White,4.5,820,864,0.005208333
Domaine de La Romanée-Conti Montrachet Grand Cru 2010,Domaine de La Romanée-Conti,Montrachet Grand Cru,2010,Burgundy,Côte de Beaune White,4.7,1348,7249.11,0.000648355
Domaine de La Romanée-Conti Montrachet Grand Cru 2014,Domaine de La Romanée-Conti,Montrachet Grand Cru,2014,Burgundy,Côte de Beaune White,4.7,1348,5419.19,0.000867288
Domaine Coche-Dury Corton-Charlemagne Grand Cru 1998,Domaine Coche-Dury,Corton-Charlemagne Grand Cru,1998,Burgundy,Côte de Beaune White,4.7,454,2923.84,0.001607475
Domaine Coche-Dury Meursault Les Rougeots 2005,Domaine Coche-Dury,Meursault Les Rougeots,2005,Burgundy,Côte de Beaune White,4.7,755,1008.22,0.004661681
Olivier Leflaive Bâtard-Montrachet Grand Cru 2012,Olivier Leflaive,Bâtard-Montrachet Grand Cru,2012,Burgundy,Côte de Beaune White,4.5,796,366.68,0.012272281
Domaine de La Romanée-Conti Montrachet Grand Cru 1999,Domaine de La Romanée-Conti,Montrachet Grand Cru,1999,Burgundy,Côte de Beaune White,4.7,1348,6800,0.000691176
Domaine Leflaive Bâtard-Montrachet Grand Cru 2011,Domaine Leflaive,Bâtard-Montrachet Grand Cru,2011,Burgundy,Côte de Beaune White,4.5,2064,393.21,0.011444266
F.X. Pichler Unendlich Riesling 2017,F.X. Pichler,Unendlich Riesling,2017,Austrian,Riesling,4.7,489,207.17,0.022686682
Bachelet-Monnot Bâtard-Montrachet Grand Cru 2015,Bachelet-Monnot,Bâtard-Montrachet Grand Cru,2015,Burgundy,Côte de Beaune White,4.4,174,260,0.016923077
Marqués de Murrieta Castillo Ygay Gran Reserva Especial Blanco 1986,Marqués de Murrieta,Castillo Ygay Gran Reserva Especial Blanco,1986,Spanish,Rioja White,4.6,1341,599,0.007679466
La Grange des Pères Vin de Pays de l'Hérault Blanc 2014,La Grange des Pères,Vin de Pays de l'Hérault Blanc,2014,Languedoc-Roussillon,White,4.5,632,223,0.020179372
Kistler Cuvée Cathleen Kistler Vineyard Chardonnay 2012,Kistler,Cuvée Cathleen Kistler Vineyard Chardonnay,2012,Californian,Chardonnay,4.5,342,259,0.017374517
Olivier Leflaive Bâtard-Montrachet Grand Cru 2015,Olivier Leflaive,Bâtard-Montrachet Grand Cru,2015,Burgundy,Côte de Beaune White,4.5,796,400,0.01125
Château La Mission Haut-Brion Pessac-Léognan Blanc (Château Laville Haut-Brion) (Grand Cru Classé de Graves) 2007,Château La Mission Haut-Brion,Pessac-Léognan Blanc (Château Laville Haut-Brion) (Grand Cru Classé de Graves),2007,,,4.3,974,250,0.0172
Château Pape Clément Pessac-Léognan Blanc 2007,Château Pape Clément,Pessac-Léognan Blanc,2007,Bordeaux,White,4.2,1133,220,0.019090909
Louis Jadot Bâtard-Montrachet Grand Cru 2005,Louis Jadot,Bâtard-Montrachet Grand Cru,2005,Burgundy,Côte de Beaune White,4.4,758,245,0.017959184
Ornellaia Toscana Bianco 2015,Ornellaia,Toscana Bianco,2015,Central Italy,White,4.4,279,226,0.019469027
Domaine de La Romanée-Conti Montrachet Grand Cru 2008,Domaine de La Romanée-Conti,Montrachet Grand Cru,2008,Burgundy,Côte de Beaune White,4.7,1348,7259.19,0.000647455
Domaine de La Romanée-Conti Montrachet Grand Cru 2007,Domaine de La Romanée-Conti,Montrachet Grand Cru,2007,Burgundy,Côte de Beaune White,4.7,1348,6056.22,0.000776062
Domaine de La Romanée-Conti Montrachet Grand Cru 2009,Domaine de La Romanée-Conti,Montrachet Grand Cru,2009,Burgundy,Côte de Beaune White,4.7,1348,6452.62,0.000728386
Fontaine-Gagnard Bâtard-Montrachet Grand Cru 2011,Fontaine-Gagnard,Bâtard-Montrachet Grand Cru,2011,Burgundy,Côte de Beaune White,4.5,504,206.68,0.021772789
Domaine Coche-Dury Meursault Les Rougeots 2011,Domaine Coche-Dury,Meursault Les Rougeots,2011,Burgundy,Côte de Beaune White,4.7,755,705.75,0.006659582
Quintarelli Giuseppe Veneto Amabile del Cere Passito Bianco 2003,Quintarelli Giuseppe,Veneto Amabile del Cere Passito Bianco,2003,Northern Italy,White,4.6,184,377.4,0.012188659
Domaine Leflaive Chevalier-Montrachet Grand Cru 2013,Domaine Leflaive,Chevalier-Montrachet Grand Cru,2013,Burgundy,Côte de Beaune White,4.6,1498,524.28,0.008773938
Kongsgaard The Judge Chardonnay 2013,Kongsgaard,The Judge Chardonnay,2013,Napa Valley,Chardonnay,4.6,371,722.68,0.006365196
Domaine Coche-Dury Meursault Les Rougeots 2007,Domaine Coche-Dury,Meursault Les Rougeots,2007,Burgundy,Côte de Beaune White,4.7,755,846.91,0.005549586
Trimbach Clos Sainte Hune Riesling Alsace 1989,Trimbach,Clos Sainte Hune Riesling Alsace,1989,Alsace,Riesling,4.4,2637,688,0.006395349
Sine Qua Non Deux Grenouilles 2016,Sine Qua Non,Deux Grenouilles,2016,Californian,White Blend,4.7,57,244,0.019262295
Domaine de La Romanée-Conti Montrachet Grand Cru 2003,Domaine de La Romanée-Conti,Montrachet Grand Cru,2003,Burgundy,Côte de Beaune White,4.7,1348,7057.55,0.000665953
Domaine Coche-Dury Puligny-Montrachet Les Enseignères 2013,Domaine Coche-Dury,Puligny-Montrachet Les Enseignères,2013,Burgundy,Côte de Beaune White,4.6,572,554.52,0.008295463
Domaine Coche-Dury Puligny-Montrachet Les Enseignères 2007,Domaine Coche-Dury,Puligny-Montrachet Les Enseignères,2007,Burgundy,Côte de Beaune White,4.6,572,655.34,0.007019257
Domaine Leflaive Chevalier-Montrachet Grand Cru 2014,Domaine Leflaive,Chevalier-Montrachet Grand Cru,2014,Burgundy,Côte de Beaune White,4.6,1498,695.67,0.006612331
Domaine de La Romanée-Conti Montrachet Grand Cru 1996,Domaine de La Romanée-Conti,Montrachet Grand Cru,1996,Burgundy,Côte de Beaune White,4.7,1348,9180,0.000511983
Joh. Jos. Prüm Wehlener Sonnenuhr Riesling Auslese 1990,Joh. Jos. Prüm,Wehlener Sonnenuhr Riesling Auslese,1990,German,Riesling,4.4,2898,442.23,0.009949574
Olivier Leflaive Montrachet Grand Cru 2011,Olivier Leflaive,Montrachet Grand Cru,2011,Burgundy,Côte de Beaune White,4.6,197,398.33,0.011548214
Domaine de La Romanée-Conti Montrachet Grand Cru 1993,Domaine de La Romanée-Conti,Montrachet Grand Cru,1993,Burgundy,Côte de Beaune White,4.7,1348,5545.22,0.000847577
Domaine Coche-Dury Meursault Les Rougeots 2012,Domaine Coche-Dury,Meursault Les Rougeots,2012,Burgundy,Côte de Beaune White,4.7,755,756.17,0.006215534
Château Rayas Châteauneuf-du-Pape Réservé Blanc 2008,Château Rayas,Châteauneuf-du-Pape Réservé Blanc,2008,Southern Rhône,White,4.4,417,302.47,0.014546897
Egon Müller - Scharzhof Scharzhofberger Riesling Auslese 2005,Egon Müller - Scharzhof,Scharzhofberger Riesling Auslese,2005,German,Riesling,4.5,887,304.99,0.014754582
Domaine Coche-Dury Corton-Charlemagne Grand Cru 2005,Domaine Coche-Dury,Corton-Charlemagne Grand Cru,2005,Burgundy,Côte de Beaune White,4.7,454,4738.64,0.000991846
Joseph Drouhin Montrachet Grand Cru Marquis de Laguiche 1998,Joseph Drouhin,Montrachet Grand Cru Marquis de Laguiche,1998,Burgundy,Côte de Beaune White,4.6,1191,350,0.013142857
Domaine Leflaive Chevalier-Montrachet Grand Cru 2012,Domaine Leflaive,Chevalier-Montrachet Grand Cru,2012,Burgundy,Côte de Beaune White,4.6,1498,604.93,0.007604186
Château Haut-Brion Pessac-Léognan Blanc (Grand Cru Classé de Graves) 1999,Château Haut-Brion,Pessac-Léognan Blanc (Grand Cru Classé de Graves),1999,Bordeaux,White,4.5,820,625.1,0.007198848
Louis Jadot Bâtard-Montrachet Grand Cru 2015,Louis Jadot,Bâtard-Montrachet Grand Cru,2015,Burgundy,Côte de Beaune White,4.4,758,352.88,0.012468828
Domaine Leflaive Chevalier-Montrachet Grand Cru 2015,Domaine Leflaive,Chevalier-Montrachet Grand Cru,2015,Burgundy,Côte de Beaune White,4.6,1498,705.75,0.006517889
Domaine Coche-Dury Puligny-Montrachet Les Enseignères 2012,Domaine Coche-Dury,Puligny-Montrachet Les Enseignères,2012,Burgundy,Côte de Beaune White,4.6,572,725.92,0.006336786
Bouchard Père & Fils Chevalier-Montrachet Grand Cru 'La Cabotte' Blanc 2009,Bouchard Père & Fils,Chevalier-Montrachet Grand Cru 'La Cabotte' Blanc,2009,Burgundy,Côte de Beaune White,4.5,304,309,0.014563107
Domaine Coche-Dury Corton-Charlemagne Grand Cru 2004,Domaine Coche-Dury,Corton-Charlemagne Grand Cru,2004,Burgundy,Côte de Beaune White,4.7,454,4022.8,0.00116834
Domaine Blain-Gagnard Bâtard-Montrachet Grand Cru 2015,Domaine Blain-Gagnard,Bâtard-Montrachet Grand Cru,2015,Burgundy,Côte de Beaune White,4.4,447,242.6,0.018136851
Gaja Gaia & Rey Langhe 1998,Gaja,Gaia & Rey Langhe,1998,Northern Italy,White,4.5,3804,277.26,0.016230253
Domaine de La Romanée-Conti Montrachet Grand Cru 1998,Domaine de La Romanée-Conti,Montrachet Grand Cru,1998,Burgundy,Côte de Beaune White,4.7,1348,8520,0.000551643
Domaine Coche-Dury Corton-Charlemagne Grand Cru 1999,Domaine Coche-Dury,Corton-Charlemagne Grand Cru,1999,Burgundy,Côte de Beaune White,4.7,454,5242.75,0.000896476
Raveneau Chablis Premier Cru 'Butteaux' 2001,Raveneau,Chablis Premier Cru 'Butteaux',2001,Burgundy,Chablis,4.4,1607,211.73,0.020781184
Keller G-Max Riesling 2006,Keller,G-Max Riesling,2006,German,Riesling,4.7,209,2720,0.001727941
Château Haut-Brion Pessac-Léognan Blanc (Grand Cru Classé de Graves) 2014,Château Haut-Brion,Pessac-Léognan Blanc (Grand Cru Classé de Graves),2014,Bordeaux,White,4.5,820,654.34,0.006877159
Domaine Coche-Dury Puligny-Montrachet Les Enseignères 2010,Domaine Coche-Dury,Puligny-Montrachet Les Enseignères,2010,Burgundy,Côte de Beaune White,4.6,572,722.68,0.006365196
Bouchard Père & Fils Montrachet Grand Cru Blanc 2013,Bouchard Père & Fils,Montrachet Grand Cru Blanc,2013,Burgundy,Côte de Beaune White,4.5,586,495,0.009090909
Bouchard Père & Fils Montrachet Grand Cru Blanc 2015,Bouchard Père & Fils,Montrachet Grand Cru Blanc,2015,Burgundy,Côte de Beaune White,4.5,586,453.7,0.009918448
Maison Pierre Overnoy Arbois Pupillin Blanc 2006,Maison Pierre Overnoy,Arbois Pupillin Blanc,2006,Jura,White,4.3,596,352.88,0.012185445
Raveneau Chablis Grand Cru 'Blanchot' 2001,Raveneau,Chablis Grand Cru 'Blanchot',2001,Burgundy,Chablis,4.5,458,222.65,0.020211094
Gaja Gaia & Rey Langhe 2006,Gaja,Gaia & Rey Langhe,2006,Northern Italy,White,4.5,3804,210,0.021428571
Domaine Coche-Dury Meursault Blanc 2011,Domaine Coche-Dury,Meursault Blanc,2011,Burgundy,Côte de Beaune White,4.5,2392,430,0.010465116
Domaine Coche-Dury Meursault Blanc 2012,Domaine Coche-Dury,Meursault Blanc,2012,Burgundy,Côte de Beaune White,4.5,2392,494.03,0.009108759
Marcassin Marcassin Vineyard Chardonnay 2012,Marcassin,Marcassin Vineyard Chardonnay,2012,Californian,Chardonnay,4.6,884,568,0.008098592
Domaine Coche-Dury Meursault Blanc 2010,Domaine Coche-Dury,Meursault Blanc,2010,Burgundy,Côte de Beaune White,4.5,2392,554.52,0.008115127
Domaine Leflaive Chevalier-Montrachet Grand Cru 2009,Domaine Leflaive,Chevalier-Montrachet Grand Cru,2009,Burgundy,Côte de Beaune White,4.6,1498,460,0.01
Didier Dagueneau (Louis-Benjamin Dagueneau) Silex 2005,Didier Dagueneau (Louis-Benjamin Dagueneau),Silex,2005,Upper Loire Valley,White,4.4,4879,234,0.018803419
Domaine Coche-Dury Meursault Blanc 2006,Domaine Coche-Dury,Meursault Blanc,2006,Burgundy,Côte de Beaune White,4.5,2392,399.09,0.011275652
Domaine Coche-Dury Meursault Blanc 2015,Domaine Coche-Dury,Meursault Blanc,2015,Burgundy,Côte de Beaune White,4.5,2392,462.77,0.009724053
Domaine des Comtes Lafon Meursault-Charmes Premier Cru 2010,Domaine des Comtes Lafon,Meursault-Charmes Premier Cru,2010,Burgundy,Côte de Beaune White,4.4,1836,221.81,0.019836797
Egon Müller - Scharzhof Scharzhofberger Riesling Auslese 2011,Egon Müller - Scharzhof,Scharzhofberger Riesling Auslese,2011,German,Riesling,4.5,887,275,0.016363636
Domaine Coche-Dury Meursault Les Rougeots 2009,Domaine Coche-Dury,Meursault Les Rougeots,2009,Burgundy,Côte de Beaune White,4.7,755,756.17,0.006215534
Domaine Leflaive Puligny-Montrachet 1er Cru Les Pucelles 2015,Domaine Leflaive,Puligny-Montrachet 1er Cru Les Pucelles,2015,Burgundy,Côte de Beaune White,4.4,2367,216.67,0.02030738
Sine Qua Non Entre Chien et Loup 2015,Sine Qua Non,Entre Chien et Loup,2015,Californian,White Blend,4.6,80,243.65,0.01887954
Domaine Leflaive Puligny-Montrachet 1er Cru Les Pucelles 1996,Domaine Leflaive,Puligny-Montrachet 1er Cru Les Pucelles,1996,Burgundy,Côte de Beaune White,4.4,2367,247.85,0.017752673
Olivier Leflaive Bâtard-Montrachet Grand Cru 2013,Olivier Leflaive,Bâtard-Montrachet Grand Cru,2013,Burgundy,Côte de Beaune White,4.5,796,275,0.016363636
Peter Michael Mon Plaisir Chardonnay 2013,Peter Michael,Mon Plaisir Chardonnay,2013,Californian,Chardonnay,4.5,494,159,0.028301887
Domaine de La Romanée-Conti Montrachet Grand Cru 2011,Domaine de La Romanée-Conti,Montrachet Grand Cru,2011,Burgundy,Côte de Beaune White,4.7,1348,8880,0.000529279
Joseph Drouhin Montrachet Grand Cru Marquis de Laguiche 2000,Joseph Drouhin,Montrachet Grand Cru Marquis de Laguiche,2000,Burgundy,Côte de Beaune White,4.6,1191,739.36,0.006221597
Domaine Leflaive Chevalier-Montrachet Grand Cru 2002,Domaine Leflaive,Chevalier-Montrachet Grand Cru,2002,Burgundy,Côte de Beaune White,4.6,1498,725,0.006344828
Domaine Leflaive Chevalier-Montrachet Grand Cru 2010,Domaine Leflaive,Chevalier-Montrachet Grand Cru,2010,Burgundy,Côte de Beaune White,4.6,1498,521.57,0.008819526
Domaine Leflaive Bâtard-Montrachet Grand Cru 2014,Domaine Leflaive,Bâtard-Montrachet Grand Cru,2014,Burgundy,Côte de Beaune White,4.5,2064,453.7,0.009918448
Domaine Leflaive Bâtard-Montrachet Grand Cru 2015,Domaine Leflaive,Bâtard-Montrachet Grand Cru,2015,Burgundy,Côte de Beaune White,4.5,2064,502.98,0.008946678
Marcassin Marcassin Vineyard Chardonnay 2008,Marcassin,Marcassin Vineyard Chardonnay,2008,Californian,Chardonnay,4.6,884,464.68,0.009899286
Château d'Yquem Y 2009,Château d'Yquem,Y,2009,Bordeaux,White,4.5,3056,201.64,0.022317001
Domaine Coche-Dury Meursault Les Rougeots 2006,Domaine Coche-Dury,Meursault Les Rougeots,2006,Burgundy,Côte de Beaune White,4.7,755,630.14,0.00745866
Domaine Leflaive Chevalier-Montrachet Grand Cru 2001,Domaine Leflaive,Chevalier-Montrachet Grand Cru,2001,Burgundy,Côte de Beaune White,4.6,1498,475,0.009684211
Château Rayas Châteauneuf-du-Pape Réservé Blanc 2007,Château Rayas,Châteauneuf-du-Pape Réservé Blanc,2007,Southern Rhône,White,4.4,417,423.45,0.010390837
Domaine Leflaive Bienvenues-Bâtard-Montrachet Grand Cru 2011,Domaine Leflaive,Bienvenues-Bâtard-Montrachet Grand Cru,2011,Burgundy,Côte de Beaune White,4.5,879,402.28,0.011186238
Domaine Coche-Dury Meursault Les Rougeots 2008,Domaine Coche-Dury,Meursault Les Rougeots,2008,Burgundy,Côte de Beaune White,4.7,755,756.17,0.006215534
Domaine Coche-Dury Puligny-Montrachet Les Enseignères 2009,Domaine Coche-Dury,Puligny-Montrachet Les Enseignères,2009,Burgundy,Côte de Beaune White,4.6,572,447.82,0.010271984
Domaine Coche-Dury Puligny-Montrachet Les Enseignères 2011,Domaine Coche-Dury,Puligny-Montrachet Les Enseignères,2011,Burgundy,Côte de Beaune White,4.6,572,554.52,0.008295463
Aubert Chardonnay Ritchie Vineyard 2014,Aubert,Chardonnay Ritchie Vineyard,2014,Californian,Chardonnay,4.5,519,231,0.019480519
Arnaud Ente Meursault 2015,Arnaud Ente,Meursault,2015,Burgundy,Côte de Beaune White,4.4,590,315,0.013968254
Château d'Yquem Y 1995,Château d'Yquem,Y,1995,Bordeaux,White,4.5,3056,267,0.016853933
Domaine Coche-Dury Puligny-Montrachet Les Enseignères 2006,Domaine Coche-Dury,Puligny-Montrachet Les Enseignères,2006,Burgundy,Côte de Beaune White,4.6,572,554.52,0.008295463
Château Haut-Brion Pessac-Léognan Blanc (Grand Cru Classé de Graves) 2006,Château Haut-Brion,Pessac-Léognan Blanc (Grand Cru Classé de Graves),2006,Bordeaux,White,4.5,820,444.79,0.010117134
Bouchard Père & Fils Montrachet Grand Cru Blanc 2009,Bouchard Père & Fils,Montrachet Grand Cru Blanc,2009,Burgundy,Côte de Beaune White,4.5,586,501.67,0.00897004
Jean-Claude Ramonet Bâtard-Montrachet Grand Cru 2009,Jean-Claude Ramonet,Bâtard-Montrachet Grand Cru,2009,Burgundy,Côte de Beaune White,4.5,799,483.95,0.009298481
Domaine Leflaive Bienvenues-Bâtard-Montrachet Grand Cru 2012,Domaine Leflaive,Bienvenues-Bâtard-Montrachet Grand Cru,2012,Burgundy,Côte de Beaune White,4.5,879,384,0.01171875
Domaine d'Auvenay (Lalou Bize Leroy) Meursault Les Narvaux 2004,Domaine d'Auvenay (Lalou Bize Leroy),Meursault Les Narvaux,2004,Burgundy,Côte de Beaune White,4.6,262,1613.15,0.002851564
Domaine Leflaive Chevalier-Montrachet Grand Cru 2003,Domaine Leflaive,Chevalier-Montrachet Grand Cru,2003,Burgundy,Côte de Beaune White,4.6,1498,457.9,0.010045862
Peter Michael Belle Côte Chardonnay 2017,Peter Michael,Belle Côte Chardonnay,2017,Californian,Chardonnay,4.5,1007,196,0.022959184
Domaine Jean-Louis Chave Hermitage Blanc 2015,Domaine Jean-Louis Chave,Hermitage Blanc,2015,Northern Rhône,White,4.4,640,221.81,0.019836797
Château Haut-Brion Pessac-Léognan Blanc (Grand Cru Classé de Graves) 2007,Château Haut-Brion,Pessac-Léognan Blanc (Grand Cru Classé de Graves),2007,Bordeaux,White,4.5,820,574.39,0.007834398
Domaine de La Romanée-Conti Montrachet Grand Cru 1997,Domaine de La Romanée-Conti,Montrachet Grand Cru,1997,Burgundy,Côte de Beaune White,4.7,1348,8660,0.000542725
Domaine Leflaive Bâtard-Montrachet Grand Cru 2003,Domaine Leflaive,Bâtard-Montrachet Grand Cru,2003,Burgundy,Côte de Beaune White,4.5,2064,422.98,0.010638801
Domaine des Héritiers Louis Jadot Chevalier Montrachet Grand Cru Les Demoiselles 2010,Domaine des Héritiers Louis Jadot,Chevalier Montrachet Grand Cru Les Demoiselles,2010,Burgundy,Côte de Beaune White,4.5,376,280,0.016071429
Louis Jadot Bâtard-Montrachet Grand Cru 2014,Louis Jadot,Bâtard-Montrachet Grand Cru,2014,Burgundy,Côte de Beaune White,4.4,758,260,0.016923077
Etienne Sauzet Bâtard-Montrachet Grand Cru 2010,Etienne Sauzet,Bâtard-Montrachet Grand Cru,2010,Burgundy,Côte de Beaune White,4.4,521,400,0.011
Olivier Leflaive Chevalier-Montrachet Grand Cru 2013,Olivier Leflaive,Chevalier-Montrachet Grand Cru,2013,Burgundy,Côte de Beaune White,4.5,141,403.29,0.011158224
Domaine Coche-Dury Meursault Les Rougeots 2013,Domaine Coche-Dury,Meursault Les Rougeots,2013,Burgundy,Côte de Beaune White,4.7,755,695.67,0.006756077
Château Haut-Brion Pessac-Léognan Blanc (Grand Cru Classé de Graves) 2009,Château Haut-Brion,Pessac-Léognan Blanc (Grand Cru Classé de Graves),2009,Bordeaux,White,4.5,820,955.08,0.004711647
Domaine des Comtes Lafon Montrachet Grand Cru 2004,Domaine des Comtes Lafon,Montrachet Grand Cru,2004,Burgundy,Côte de Beaune White,4.7,325,1512.33,0.003107787
Domaine Henri Boillot Bâtard-Montrachet Grand Cru 2015,Domaine Henri Boillot,Bâtard-Montrachet Grand Cru,2015,Burgundy,Côte de Beaune White,4.5,279,442.98,0.010158472
Domaine Coche-Dury Corton-Charlemagne Grand Cru 2001,Domaine Coche-Dury,Corton-Charlemagne Grand Cru,2001,Burgundy,Côte de Beaune White,4.7,454,3831.24,0.001226757
Château Haut-Brion Pessac-Léognan Blanc (Grand Cru Classé de Graves) 2013,Château Haut-Brion,Pessac-Léognan Blanc (Grand Cru Classé de Graves),2013,Bordeaux,White,4.5,820,882.53,0.005098977
Château-Grillet Blanc 2002,Château-Grillet,Blanc,2002,Northern Rhône,White,4.3,1366,228,0.018859649
Domaine Jean-Louis Chave Hermitage Blanc 2005,Domaine Jean-Louis Chave,Hermitage Blanc,2005,Northern Rhône,White,4.4,640,247.5,0.017777778
Domaine Coche-Dury Corton-Charlemagne Grand Cru 2006,Domaine Coche-Dury,Corton-Charlemagne Grand Cru,2006,Burgundy,Côte de Beaune White,4.7,454,3821.16,0.001229993
Domaine des Comtes Lafon Montrachet Grand Cru 2007,Domaine des Comtes Lafon,Montrachet Grand Cru,2007,Burgundy,Côte de Beaune White,4.7,325,1613.15,0.002913554
Domaine Jacques Prieur Montrachet Grand Cru Blanc 2013,Domaine Jacques Prieur,Montrachet Grand Cru Blanc,2013,Burgundy,Côte de Beaune White,4.5,493,502.98,0.008946678
Raveneau Chablis Premier Cru 'Butteaux' 2010,Raveneau,Chablis Premier Cru 'Butteaux',2010,Burgundy,Chablis,4.4,1607,254.16,0.017311929
Bonneau du Martray Corton-Charlemagne Grand Cru 2010,Bonneau du Martray,Corton-Charlemagne Grand Cru,2010,Burgundy,Côte de Beaune White,4.4,6891,206.68,0.021288949
Gaja Gaia & Rey Langhe 2013,Gaja,Gaia & Rey Langhe,2013,Northern Italy,White,4.5,3804,275.17,0.016353527
Gaja Gaia & Rey Langhe 2014,Gaja,Gaia & Rey Langhe,2014,Northern Italy,White,4.5,3804,274.27,0.01640719
Gaja Gaia & Rey Langhe 2008,Gaja,Gaia & Rey Langhe,2008,Northern Italy,White,4.5,3804,320.13,0.014056789
Gaja Gaia & Rey Langhe 2012,Gaja,Gaia & Rey Langhe,2012,Northern Italy,White,4.5,3804,275.17,0.016353527
Domaine Coche-Dury Meursault Blanc 2013,Domaine Coche-Dury,Meursault Blanc,2013,Burgundy,Côte de Beaune White,4.5,2392,453.7,0.009918448
Didier Dagueneau (Louis-Benjamin Dagueneau) Silex 2008,Didier Dagueneau (Louis-Benjamin Dagueneau),Silex,2008,Upper Loire Valley,White,4.4,4879,231.89,0.018974514
Gaja Gaia & Rey Langhe 2010,Gaja,Gaia & Rey Langhe,2010,Northern Italy,White,4.5,3804,210,0.021428571
Château Margaux Pavillon Blanc du Château Margaux 2006,Château Margaux,Pavillon Blanc du Château Margaux,2006,Bordeaux,White,4.3,2515,180,0.023888889
Domaine Coche-Dury Meursault Blanc 2007,Domaine Coche-Dury,Meursault Blanc,2007,Burgundy,Côte de Beaune White,4.5,2392,504.11,0.008926623
Domaine Leflaive Bâtard-Montrachet Grand Cru 2008,Domaine Leflaive,Bâtard-Montrachet Grand Cru,2008,Burgundy,Côte de Beaune White,4.5,2064,394.8,0.011398176
Domaine Leflaive Puligny-Montrachet 1er Cru Les Pucelles 2010,Domaine Leflaive,Puligny-Montrachet 1er Cru Les Pucelles,2010,Burgundy,Côte de Beaune White,4.4,2367,292.68,0.015033484
Domaine Leflaive Bâtard-Montrachet Grand Cru 2009,Domaine Leflaive,Bâtard-Montrachet Grand Cru,2009,Burgundy,Côte de Beaune White,4.5,2064,530.28,0.008486083
Olivier Leflaive Bâtard-Montrachet Grand Cru 2011,Olivier Leflaive,Bâtard-Montrachet Grand Cru,2011,Burgundy,Côte de Beaune White,4.5,796,245,0.018367347
Domaine Leflaive Chevalier-Montrachet Grand Cru 2008,Domaine Leflaive,Chevalier-Montrachet Grand Cru,2008,Burgundy,Côte de Beaune White,4.6,1498,450,0.010222222
Domaine Leflaive Puligny-Montrachet 1er Cru Les Pucelles 2005,Domaine Leflaive,Puligny-Montrachet 1er Cru Les Pucelles,2005,Burgundy,Côte de Beaune White,4.4,2367,205.85,0.021374787
Egon Müller - Scharzhof Scharzhofberger Riesling Auslese 2015,Egon Müller - Scharzhof,Scharzhofberger Riesling Auslese,2015,German,Riesling,4.5,887,399.09,0.011275652
Domaine Leflaive Chevalier-Montrachet Grand Cru 2011,Domaine Leflaive,Chevalier-Montrachet Grand Cru,2011,Burgundy,Côte de Beaune White,4.6,1498,475,0.009684211
Vincent Dauvissat Les Clos Chablís Grand Cru 2007,Vincent Dauvissat,Les Clos Chablís Grand Cru,2007,Burgundy,Chablis,4.4,1048,201.64,0.021821067
Raveneau Chablis Grand Cru 'Valmur' 2008,Raveneau,Chablis Grand Cru 'Valmur',2008,Burgundy,Chablis,4.5,985,522,0.00862069
Domaine Coche-Dury Meursault Blanc 2004,Domaine Coche-Dury,Meursault Blanc,2004,Burgundy,Côte de Beaune White,4.5,2392,503.1,0.008944544
Domaine Leflaive Puligny-Montrachet 1er Cru Les Pucelles 2014,Domaine Leflaive,Puligny-Montrachet 1er Cru Les Pucelles,2014,Burgundy,Côte de Beaune White,4.4,2367,295,0.014915254
Domaine Leflaive Bâtard-Montrachet Grand Cru 2013,Domaine Leflaive,Bâtard-Montrachet Grand Cru,2013,Burgundy,Côte de Beaune White,4.5,2064,352.88,0.01275221
Domaine des Comtes Lafon Meursault-Charmes Premier Cru 2014,Domaine des Comtes Lafon,Meursault-Charmes Premier Cru,2014,Burgundy,Côte de Beaune White,4.4,1836,215,0.020465116
Enate Chardonnay Uno 2011,Enate,Chardonnay Uno,2011,Spanish,Chardonnay,4.2,237,240.21,0.017484701
