FullName,Winery,Year,VintageRating,VintagePrice,VintageRatingPriceRatio,WineRating,WineRatingPriceRatio
A. Christmann Idig GG 2012,A. Christmann,2012.0,4.3,83.95,0.051220965,4.3,0.051220965
A. Christmann Idig GG 2014,A. Christmann,2014.0,4.1,77.95,0.052597819,4.3,0.055163566
A. Christmann Idig GG 2015,A. Christmann,2015.0,4.3,57.55,0.074717637,4.3,0.074717637
Abadal Nuat 2015,Abadal,2015.0,4.1,31.99,0.128165052,3.9,0.121913098
Abadia Retuerta Le Domaine Blanco de Guarda 2015,Abadia Retuerta,2015.0,4.1,29.0,0.14137931,4.2,0.144827586
Abadia Retuerta Le Domaine Blanco de Guarda 2016,Abadia Retuerta,2016.0,4.3,29.365,0.146432828,4.2,0.143027414
Abadia Retuerta Le Domaine Blanco de Guarda 2017,Abadia Retuerta,2017.0,4.3,37.0,0.116216216,4.2,0.113513514
Abadia Retuerta Le Domaine Blanco de Guarda 2018,Abadia Retuerta,2018.0,4.2,29.74,0.141223941,4.2,0.141223941
Abbatucci Diplomate d'Empire (Cuvée Collection Il Cavaliere) 2013,Abbatucci,2013.0,4.2,47.39,0.088626292,4.1,0.086516143
Abbatucci Diplomate d'Empire (Cuvée Collection Il Cavaliere) 2015,Abbatucci,2015.0,4.0,55.0,0.072727273,4.1,0.074545455
Abbatucci Diplomate d'Empire (Cuvée Collection Il Cavaliere) 2016,Abbatucci,2016.0,4.3,65.0,0.066153846,4.1,0.063076923
Abbatucci Général de la Révolution (Cuvée Collection) 2012,Abbatucci,2012.0,4.1,61.67,0.066482893,4.3,0.069725961
Abbatucci Général de la Révolution (Cuvée Collection) 2013,Abbatucci,2013.0,4.3,61.67,0.069725961,4.3,0.069725961
Abbatucci Général de la Révolution (Cuvée Collection) 2014,Abbatucci,2014.0,4.4,42.01,0.104736967,4.3,0.102356582
Abbatucci Général de la Révolution (Cuvée Collection) 2015,Abbatucci,2015.0,4.3,49.57,0.086746016,4.3,0.086746016
Abel Mendoza Monge 5V Blanco 2017,Abel Mendoza Monge,2017.0,4.0,35.1,0.113960114,4.0,0.113960114
Abel Mendoza Monge Viura 2017,Abel Mendoza Monge,2017.0,4.2,26.0,0.161538462,4.0,0.153846154
Adega Familiar Eladio Piñeiro Frore de Carme 2015,Adega Familiar Eladio Piñeiro,2015.0,4.4,23.08,0.190641248,4.2,0.181975737
Agnès Paquet Auxey-Duresses Blanc 2016,Agnès Paquet,2016.0,4.1,25.6,0.16015625,3.9,0.15234375
Agnès Paquet Auxey-Duresses Blanc 2017,Agnès Paquet,2017.0,4.1,26.47,0.154892331,3.9,0.147336607
Agro de Bazán Granbazán Albariño Etiqueta Ámbar 2016,Agro de Bazán,2016.0,4.1,15.02,0.272969374,3.9,0.259653795
Agro de Bazán Granbazán Don Álvaro de Bazán Albariño 2014,Agro de Bazán,2014.0,4.0,20.16,0.198412698,4.0,0.198412698
Alain Geoffroy Chablis Grand Cru 'Les Clos' 2007,Alain Geoffroy,2007.0,4.2,41.93,0.100166945,4.3,0.102551872
Alain Girard & Fils Domaine des Brosses Sancerre 2017,Alain Girard & Fils,2017.0,4.1,29.5,0.138983051,4.0,0.13559322
Alain Gras Saint-Romain Blanc 2017,Alain Gras,2017.0,4.0,28.25,0.14159292,3.9,0.138053097
Alain Gueneau La Guiberte Sancerre 2017,Alain Gueneau,2017.0,4.2,28.99,0.144877544,4.0,0.137978613
Alain Jaume Domaine Grand Veneur Châteauneuf-Du-Pape La Fontaine Blanc 2015,Alain Jaume,2015.0,4.2,35.29,0.119013885,4.1,0.116180221
Alain Jaume Domaine Grand Veneur Châteauneuf-Du-Pape La Fontaine Blanc 2016,Alain Jaume,2016.0,4.2,29.41,0.142808569,4.1,0.139408365
Alain Jaume Domaine Grand Veneur Châteauneuf-du-Pape 'Le Miocène' Blanc 2017,Alain Jaume,2017.0,4.1,24.79,0.16538927,4.2,0.169423154
Alain Voge Fleur de Crussol Saint-Péray 2017,Alain Voge,2017.0,4.1,27.73,0.147854309,4.1,0.147854309
Albert Bichot Château Gris Les Terrasses Monopole Nuits-Saint-Georges 2009,Albert Bichot,2009.0,4.3,53.33,0.080630039,4.3,0.080630039
Albert Bichot Château Gris Les Terrasses Monopole Nuits-Saint-Georges 2015,Albert Bichot,2015.0,4.3,34.45,0.124818578,4.3,0.124818578
Albert Bichot Meursault 2015,Albert Bichot,2015.0,4.2,82.5,0.050909091,4.0,0.048484848
Albert Bichot Montagny Premier Cru 2015,Albert Bichot,2015.0,4.0,20.08,0.199203187,3.9,0.194223108
Albert Bichot Puligny-Montrachet 2015,Albert Bichot,2015.0,4.3,74.55,0.05767941,4.0,0.053655265
Albert Boxler Gewürztraminer 2016,Albert Boxler,2016.0,4.2,22.48,0.18683274,4.1,0.182384342
